"pers_no","date","organizational_unit","location","pers_count","years"
3419,2016-06-13,"B Shift","Brisbane",1,2016
3419,2016-06-13,"B Shift","Brisbane",1,2016
3419,2016-06-13,"B Shift","Brisbane",1,2016
3419,2016-06-13,"B Shift","Brisbane",1,2016
3419,2016-06-13,"E Shift","Brisbane",1,2016
3420,2016-07-11,"Inspection & Packaging Engineering","Brisbane",1,2016
3420,2016-07-11,"Inspection & Packaging Engineering","Brisbane",1,2016
3421,2016-07-11,"Risk Management","Melbourne",1,2016
3422,2016-07-11,"Business Services Melbourne","Melbourne",1,2016
3423,2016-07-25,"Inspection & Packaging Engineering","Brisbane",1,2016
3423,2016-07-25,"Inspection & Packaging Engineering","Brisbane",1,2016
3423,2016-07-25,"Inspection & Packaging Engineering","Brisbane",1,2016
3423,2016-07-25,"Electrical Services","Brisbane",1,2016
3424,2016-07-11,"Service Desk AP","Melbourne",1,2016
3425,2016-08-01,"UPM4 E Shift","Melbourne",1,2016
3425,2016-08-01,"UPM3 C Shift","Melbourne",1,2016
3426,2016-07-25,"Procurement","Melbourne",1,2016
3426,2016-07-25,"Procurement","Melbourne",1,2016
3427,2016-08-01,"Distribution - Queensland","Brisbane",1,2016
3427,2016-08-01,"Distribution - Queensland","Brisbane",1,2016
3428,2016-08-16,"Job Change","Brisbane",1,2016
3428,2016-08-16,"Production Support","Brisbane",1,2016
3429,2016-08-15,"Job Change","Brisbane",1,2016
3430,2016-08-15,"IT Operations","Melbourne",1,2016
3431,2016-08-22,"Batch & Furnace","Melbourne",1,2016
3432,2016-08-22,"Job Change","Brisbane",1,2016
3433,2016-09-05,"IS Repair","Melbourne",1,2016
3434,2016-09-12,"Manufacturing","Sydney",1,2016
3435,2016-08-29,"UPM3","Melbourne",1,2016
3436,2016-09-19,"Glass and Materials Advancement","Melbourne",1,2016
3437,2016-10-03,"Sales & Marketing O-I Australia","Melbourne",1,2016
3437,2016-10-03,"Sales & Marketing O-I Australia","Melbourne",1,2016
3437,2016-10-03,"Sales & Marketing O-I Australia","Melbourne",1,2016
3438,2016-09-20,"Pack Centre","Melbourne",1,2016
3439,2016-09-13,"","Brisbane",1,2016
3440,2016-09-26,"Unit Plant QG1","Brisbane",1,2016
3440,2016-09-26,"Unit Plant QG12","Brisbane",1,2016
3441,2016-10-04,"Business Services","Adelaide",1,2016
3442,2016-10-24,"Human Resources O-I Asia Pacific","Melbourne",1,2016
3442,2016-10-24,"Human Resources O-I Asia Pacific","Melbourne",1,2016
3443,2012-09-17,"Procurement","Melbourne",1,2012
3443,2012-09-17,"Strategic Sourcing and Demand","Melbourne",1,2012
3444,2016-10-24,"Integrated Systems and Risk","Brisbane",1,2016
3445,2016-10-31,"Plant Maintenance Sydney","Sydney",1,2016
3446,2016-11-07,"Sales & Marketing O-I Australia","Melbourne",1,2016
3446,2016-11-07,"Sales & Marketing O-I Australia","Melbourne",1,2016
3446,2016-11-07,"Procurement","Melbourne",1,2016
3446,2016-11-07,"Procurement","Melbourne",1,2016
3446,2016-11-07,"ANZ Planning","Melbourne",1,2016
3447,2016-11-07,"Sales & Marketing O-I Australia","Melbourne",1,2016
3447,2016-11-07,"Commercial O-I Asia Pacific","Melbourne",1,2016
3447,2016-11-07,"Commercial O-I Asia Pacific","Melbourne",1,2016
3448,2016-11-01,"Plant Mechanical Sydney","Sydney",1,2016
3449,2016-11-14,"Mould Repair","Sydney",1,2016
3450,2016-11-15,"Mould Repair","Sydney",1,2016
3451,2016-11-21,"Integrated Systems and Risk","Melbourne",1,2016
3452,2016-11-21,"Business Services Melbourne","Melbourne",1,2016
3452,2016-11-21,"Business Services Melbourne","Melbourne",1,2016
