"pers_no","action_type","reason_for_action","company_code","company_code_1","personnel_area","personnel_subarea","cost_ctr","cost_center","organizational_unit","start_date_action","end_date_action","organizational_key","position","date"
10000665,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1210,"NZ Mould Repairs","Forming Services","27/01/2015","1/08/2015","","Forming Services Fitter","27/01/2015"
10000666,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1280,"NZ Cust Tech Serv","Customer Technical Services","2/03/2015","31/12/9999","","Area Quality Engineer","2/03/2015"
10000666,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1280,"NZ Cust Tech Serv","Customer Technical Services","2/03/2015","31/12/9999","Manufacturing & Engineering","Technical Services Representative","2/03/2015"
10000667,"Hire Employee","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1190,"NZ Resort","Temporary Resort","16/03/2015","27/03/2015","","Temporary Resorter","16/03/2015"
10000667,"Rehire","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1190,"NZ Resort","Temporary Resort","11/05/2015","1/08/2015","","Temporary Resorter","16/03/2015"
10000668,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1120,"NZ Forming Services","Forming","13/04/2015","13/04/2015","","Forehearth Specialist","13/04/2015"
10000668,"Rehire","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1120,"NZ Forming Services","Forming","1/02/2016","31/01/2017","","Forehearth Specialist","1/02/2016"
10000668,"Rehire","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1120,"NZ Forming Services","Forming","1/02/2016","31/01/2017","","Forehearth Specialist","1/02/2016"
10000669,"Hire Employee","Fill temporary absence",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1580,"NZ Warehousing","Purchasing","4/05/2015","31/01/2017","","Temporary Procurement Specialist","4/05/2015"
10000670,"Hire Employee","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1190,"NZ Resort","Temporary Resort","15/06/2015","1/08/2015","","Temporary Resorter","15/06/2015"
10000671,"Hire Employee","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1190,"NZ Resort","Temporary Resort","22/06/2015","1/08/2015","","Temporary Resorter","22/06/2015"
10000672,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1580,"NZ Warehousing","Supply Chain","29/06/2015","31/07/2017","","Supply Chain Co-ordinator","29/06/2015"
