"pers_no","action_type","reason_for_action","co_cd","company_code","personnel_area","personnel_subarea","cost_ctr","cost_center","organizational_unit","date","turnover","turn_abs"
90003209,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10270,"JKT Manufacturing","Manufacturing","5/01/2015",1,1
90003210,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10270,"JKT Manufacturing","Manufacturing","5/01/2015",1,1
90003211,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10130,"JKT Forming","Line 22 Shift D","5/01/2015",1,1
90003211,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Shft Glass",10130,"JKT Forming","Line 22 Shift D","5/01/2015",1,1
90003212,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10130,"JKT Forming","Line 24 Shift D","5/01/2015",1,1
90003214,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10170,"JKT Pack","Quality Service","5/01/2015",1,1
90003216,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10230,"JKT Maintenance-Elec","Electrical","5/01/2015",1,1
90003217,"Hire Employee","New position",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10360,"JKT Sale & Marketing","Marketing & Sales","2/02/2015",1,1
90003218,"Hire Employee","New position",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10270,"JKT Manufacturing","Manufacturing","2/02/2015",1,1
90003219,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10360,"JKT Sale & Marketing","Marketing & Sales","16/02/2015",1,1
90003220,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10260,"JKT Plant Reliabilty","Mechanical Engineering","2/03/2015",1,1
90003221,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10130,"JKT Forming","Line 24 Shift B","2/03/2015",1,1
90003221,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Shft Glass",10130,"JKT Forming","Line 24 Shift B","2/03/2015",1,1
90003222,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10130,"JKT Forming","Line 24 Shift D","2/03/2015",1,1
90003223,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10210,"JKT Mould Shop","Mould Shop","16/03/2015",1,1
90003224,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10130,"JKT Forming","Line 14 Shift A","6/04/2015",1,1
90003224,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Shft Glass",10130,"JKT Forming","Line 14 Shift A","6/04/2015",1,1
90003225,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10130,"JKT Forming","Line 14 Shift B","6/04/2015",1,1
90003226,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10130,"JKT Forming","Line 24 Shift D","6/04/2015",1,1
90003227,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10130,"JKT Forming","Line 24 Shift B","6/04/2015",1,1
90003228,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10230,"JKT Maintenance-Elec","Electrical","1/05/2015",1,1
90003228,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Shft Staff",10230,"JKT Maintenance-Elec","Electrical","1/05/2015",1,1
90003229,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10270,"JKT Manufacturing","Manufacturing","1/05/2015",1,1
90003230,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10270,"JKT Manufacturing","Manufacturing","1/05/2015",1,1
90003231,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10270,"JKT Manufacturing","Manufacturing","1/05/2015",1,1
90003232,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10360,"JKT Sale & Marketing","Marketing & Sales","11/05/2015",1,1
90003233,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10130,"JKT Forming","Line 14 Shift C","1/05/2015",1,1
