Pers.no.,Action Type,Reason for Action,CoCd,Company Code,Personnel Area,Personnel Subarea,Cost ctr code,Cost Center,Organizational Unit,Date,Turnover,TurnABS
00000495,Termination (HR checklist),Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9220,SYD Maint - General,Maintenance-Cold End,25/03/2013,-1,1
00000500,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Forming Job Change,21/07/2006,-1,1
00000502,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,A Shift,20/02/2002,-1,1
00000504,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9001,SYD Shift 1,A Shift,13/11/2013,-1,1
00000513,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9240,SYD Maint - Machine,Machine Maintenance,22/10/2011,-1,1
00000513,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,,,,22/10/2011,-1,1
00000516,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9250,SYD Maint - Cold End,Maintenance-Cold End,29/08/2011,-1,1
00000519,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9210,SYD Mould Repair,Mould Repair,24/03/2005,-1,1
00000522,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,C Shift,26/09/2008,-1,1
00000524,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9210,SYD Mould Repair,Mould Repair,14/12/2007,-1,1
00000525,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9002,SYD Shift 2,B Shift,13/11/2013,-1,1
00000530,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9002,SYD Shift 2,B Shift,13/11/2013,-1,1
00000534,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9001,SYD Shift 1,A Shift,12/11/2013,-1,1
00000535,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9190,SYD Resort,Stock Control,11/08/2007,-1,1
00000537,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9240,SYD Maint - Machine,Machine Maintenance,17/11/2012,-1,1
00000537,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,,,,17/11/2012,-1,1
00000539,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Forming Job Change,7/12/2011,-1,1
00000542,Termination (HR checklist),Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9120,SYD Forming Services,C Shift,31/05/2000,-1,1
00000546,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9210,SYD Mould Repair,Mould Repair,4/09/2010,-1,1
00000548,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9230,SYD Maint - Electric,Plant Electrical Sydney,13/11/2013,-1,1
00000549,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9250,SYD Maint - Cold End,Maintenance-Cold End,30/10/2011,-1,1
00000550,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9020,SYD Unit PlntMrg SP1,Production Line Management 2,20/10/2018,-1,1
00000551,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,B Shift,25/01/2008,-1,1
00000552,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,C Shift,1/07/2012,-1,1
00000555,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,29/12/2013,-1,1
00000556,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9815,SYD SP31 MachineLine,D Shift,7/09/2015,-1,1
00000558,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9290,SYD HR & Training,Engineering,1/02/2003,-1,1
00000559,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9170,SYD Pack,D Shift,4/10/2018,-1,1
