"pers_no","action_type","reason_for_action","organizational_unit","date","turnover","turn_abs","location","years"
845,"Auto Terminations","Retirement","Engineering",2013-10-15,-1,1,"Adelaide",2013
848,"Auto Terminations","Retrenchment(2008+)","Integrated Systems & Risk",2014-09-12,-1,1,"Adelaide",2014
855,"Auto Terminations","Resignation","Engineering Services",2008-03-15,-1,1,"Melbourne",2008
859,"Auto Terminations","Resignation","Engineering",2003-02-01,-1,1,"Adelaide",2003
860,"Auto Terminations","Retirement","Customer Services",2010-05-01,-1,1,"Melbourne",2010
861,"Auto Terminations","Retirement","Mould Repair",2007-12-15,-1,1,"Melbourne",2007
866,"Auto Terminations","Retirement","Distribution - South Australia",2007-11-03,-1,1,"Adelaide",2007
868,"Auto Terminations","Retirement","Customer Services",2008-10-11,-1,1,"Melbourne",2008
869,"Auto Terminations","Resignation","Regional Quality",2015-08-01,-1,1,"Brisbane",2015
871,"Auto Terminations","Dismissal","Human Resources O-I Asia Pacific",2013-08-01,-1,1,"Melbourne",2013
875,"Auto Terminations","Retirement","Risk Management",2010-07-31,-1,1,"Melbourne",2010
877,"Auto Terminations","Resignation","Plant Procurement",2001-12-01,-1,1,"Melbourne",2001
879,"Auto Terminations","Retirement","Facilities Engineering",2009-03-17,-1,1,"Melbourne",2009
880,"Auto Terminations","Retirement","Plant Engineering",2009-07-02,-1,1,"Melbourne",2009
881,"Auto Terminations","Resignation","Customer Technical Services",2002-07-27,-1,1,"Brisbane",2002
883,"Auto Terminations","Retrenchment(2008+)","Plant Reliability",2014-09-10,-1,1,"Adelaide",2014
884,"Auto Terminations","Resignation","Forming-Job Change",2005-12-10,-1,1,"Brisbane",2005
885,"Auto Terminations","Retirement","Cold End A Shift",2007-08-04,-1,1,"Brisbane",2007
888,"Auto Terminations","Retirement","A Shift",2011-07-30,-1,1,"Adelaide",2011
890,"Auto Terminations","Resignation","Manufacturing",2003-07-02,-1,1,"Brisbane",2003
893,"Auto Terminations","Resignation","Human Resources",2003-01-01,-1,1,"Melbourne",2003
897,"Auto Terminations","Retirement","Integrated Systems and Risk",2014-07-19,-1,1,"Melbourne",2014
900,"Auto Terminations","Retirement","Technical Advancement",2009-10-31,-1,1,"Melbourne",2009
902,"Auto Terminations","Retrenchment(2008+)","Mould Repair",2013-08-01,-1,1,"Brisbane",2013
903,"Auto Terminations","Resignation","Engineering",2005-10-29,-1,1,"Sydney",2005
